site,sex,sex_index,species,height
Ghole,,0,drum,57
Ghole,,0,drum,46
Ghole,,0,drum,66
Ghole,,0,drum,78
Ghole,,0,drum,64
Ghole,,0,geyer,55
Ghole,,0,geyer,37
Ghole,,0,geyer,49
Ghole,,0,geyer,64
Ghole,,0,geyer,41
Ghole,,0,geyer,38
Ghole,,0,geyer,58
Ghole,,0,geyer,61
Ghole,,0,geyer,43
Ghole,,0,geyer,46
Ghole,,0,geyer,43
Ghole,,0,geyer,46
Ghole,,0,geyer,83
Ghole,,0,geyer,62
Ghole,,0,geyer,49
Ghole,,0,geyer,53
Ghole,,0,geyer,46
Ghole,,0,geyer,55
Ghole,,0,geyer,59
Ghole,,0,geyer,70
Ghole,,0,geyer,40
Ghole,,0,geyer,41
Ghole,,0,geyer,52
Ghole,,0,geyer,45
Ghole,,0,geyer,47
Ghole,,0,geyer,61
Ghole,,0,plani,80
Ghole,,0,,48
Ghole,,0,,44
Ghole,,0,,44
Ghole,,0,,44
Glen,f,1,bebb,79
Glen,f,1,booth,69
Glen,f,1,booth,89
Glen,f,1,booth,88
Glen,f,1,booth,62
Glen,f,1,booth,41
Glen,f,1,booth,74
Glen,m,2,booth,86
Glen,,0,bebb,60
Glen,,0,booth,73
Glen,,0,booth,92
Glen,,0,booth,56
Glen,,0,booth,61
Glen,,0,booth,53
Hailb,f,1,booth,67
Hailb,,0,bebb,46
Hailb,,0,booth,45
Hailb,,0,booth,33
Hailb,,0,geyer,40
Lava,f,1,booth,59
Lava,m,2,booth,61
Lava,m,2,booth,127
Lava,m,2,geyer,153
Lava,,0,bebb,130
Lava,,0,bebb,60
Lava,,0,bebb,51
Lava,,0,bebb,43
Lava,,0,bebb,60
Lava,,0,bebb,189
Lava,,0,bebb,224
Lava,,0,bebb,95
Lava,,0,bebb,71
Lava,,0,bebb,111
Lava,,0,bebb,27
Lava,,0,booth,37
Lava,,0,booth,25
Lava,,0,booth,85
Lava,,0,booth,44
Lava,,0,booth,189
Lava,,0,booth,35
