site,plot,species,willid,stem1,stem2,stem3,stem4,stem5,stem6,gender,sex_ann,sex_index,.,.
wb,dx,beb,158,158,159,160,.,.,.,f,,1,.,.
wb,dx,beb,161,161,162,163,.,.,.,f,,1,.,.
wb,dx,boothi,122,122,123,124,.,.,.,f,,1,.,.
wb,dx,boothi,125,125,126,127,.,.,.,f,,1,.,.
wb,dx,boothi,128,128,129,130,.,.,.,f,,1,.,.
wb,dx,boothi,131,131,132,133,.,.,.,.,,0,.,.
wb,dx,boothi,134,134,135,136,.,.,.,f,,1,.,.
wb,dx,boothi,137,137,138,139,.,.,.,m,,2,.,.
wb,dx,boothi,140,140,141,142,8250,.,.,m,,2,.,.
wb,dx,geyer,101,101,102,103,.,.,.,m,,2,.,.
wb,dx,geyer,104,104,105,106,.,.,.,f,,1,.,.
wb,dx,geyer,107,107,108,109,.,.,.,m,,2,.,.
wb,dx,geyer,110,110,111,112,.,.,.,m,,2,.,.
wb,dx,geyer,113,113,114,115,.,.,.,f,,1,.,.
wb,dx,geyer,116,116,117,118,.,.,.,m,,2,.,.
wb,dx,geyer,119,119,120,121,8810,.,.,.,,0,.,.
